planning_area,mrt_name,mrt_dist_m,school_name,school_dist_m
Ang Mo Kio,ANG MO KIO MRT STATION,479,ANG MO KIO PRIMARY SCHOOL,642
Bedok,BEDOK MRT STATION,238,OPERA ESTATE PRIMARY SCHOOL,616
Bishan,UPPER THOMSON MRT STATION,340,AI TONG SCHOOL,920
Bukit Batok,HILLVIEW MRT STATION,550,CHIJ OUR LADY QUEEN OF PEACE,941
Bukit Merah,TIONG BAHRU MRT STATION,593,ZHANGDE PRIMARY SCHOOL,344
Bukit Panjang,PENDING LRT STATION,138,ZHENGHUA PRIMARY SCHOOL,374
Bukit Timah,SIXTH AVENUE MRT STATION,630,RAFFLES GIRLS' PRIMARY SCHOOL,483
Choa Chu Kang,CHOA CHU KANG LRT STATION,288,SOUTH VIEW PRIMARY SCHOOL,272
Clementi,CLEMENTI MRT STATION,167,CLEMENTI PRIMARY SCHOOL,233
Geylang,ALJUNIED MRT STATION,422,GEYLANG METHODIST SCHOOL (PRIMARY),360
Hougang,KOVAN MRT STATION,213,XINGHUA PRIMARY SCHOOL,591
Jurong East,JURONG EAST MRT STATION,142,FUHUA PRIMARY SCHOOL,925
Jurong West,BOON LAY MRT STATION,423,BOON LAY GARDEN PRIMARY SCHOOL,567
Kallang,LAVENDER MRT STATION,317,BENDEMEER PRIMARY SCHOOL,1323
Marine Parade,TANJONG KATONG MRT STATION,299,TANJONG KATONG PRIMARY SCHOOL,529
Novena,NOVENA MRT STATION,88,ST. JOSEPH'S INSTITUTION JUNIOR,400
Pasir Ris,PASIR RIS MRT STATION,87,ELIAS PARK PRIMARY SCHOOL,545
Punggol,PUNGGOL LRT STATION,28,PUNGGOL VIEW PRIMARY SCHOOL,342
Queenstown,KENT RIDGE MRT STATION,187,FAIRFIELD METHODIST SCHOOL (PRIMARY),709
Sembawang,SEMBAWANG MRT STATION,170,CANBERRA PRIMARY SCHOOL,379
Sengkang,RENJONG LRT STATION,109,PALM VIEW PRIMARY SCHOOL,337
Serangoon,LORONG CHUAN MRT STATION,612,CHIJ OUR LADY OF GOOD COUNSEL,488
Tampines,TAMPINES EAST MRT STATION,747,CHONGZHENG PRIMARY SCHOOL,613
Toa Payoh,TOA PAYOH MRT STATION,1017,PEI CHUN PUBLIC SCHOOL,351
Woodlands,WOODLANDS MRT STATION,251,QIHUA PRIMARY SCHOOL,468
Yishun,YISHUN MRT STATION,119,YISHUN PRIMARY SCHOOL,363
Downtown Core,DOWNTOWN MRT STATION,117,CANTONMENT PRIMARY SCHOOL,1563
Orchard,ORCHARD MRT STATION,113,ANGLO-CHINESE SCHOOL (JUNIOR),1136
River Valley,GREAT WORLD MRT STATION,279,RIVER VALLEY PRIMARY SCHOOL,490
Rochor,JALAN BESAR MRT STATION,175,FARRER PARK PRIMARY SCHOOL,1110
