planning_area,lat,lng,psf_cagr_pct,latest_psf,region
Ang Mo Kio,1.3691,103.8454,1.0,1873,OCR
Bedok,1.3236,103.9273,4.0,1549,OCR
Bishan,1.3526,103.8352,1.0,1873,OCR
Bukit Batok,1.359,103.7637,3.1,1513,OCR
Bukit Merah,1.2819,103.8239,9.1,2686,RCR
Bukit Panjang,1.3774,103.7719,3.1,1513,OCR
Bukit Timah,1.3294,103.8021,0.2,2635,CCR
Choa Chu Kang,1.384,103.747,3.1,1513,OCR
Clementi,1.3162,103.7649,8.5,2083,OCR
Geylang,1.3201,103.8818,6.1,1776,RCR
Hougang,1.3612,103.8863,7.5,1579,OCR
Jurong East,1.3329,103.7436,8.6,1708,OCR
Jurong West,1.3404,103.709,8.6,1708,OCR
Kallang,1.31,103.864,8.1,1875,RCR
Marine Parade,1.302,103.8967,4.5,2388,OCR
Novena,1.3203,103.8431,-1.1,2064,CCR
Pasir Ris,1.3721,103.9494,13.0,1659,OCR
Punggol,1.4043,103.9022,7.5,1579,OCR
Queenstown,1.2942,103.7861,9.1,2686,RCR
Sembawang,1.4491,103.8185,2.1,1312,OCR
Sengkang,1.3868,103.8914,7.5,1579,OCR
Serangoon,1.3554,103.8679,7.5,1579,OCR
Tampines,1.3496,103.9568,13.0,1659,OCR
Toa Payoh,1.3343,103.8563,8.1,1875,RCR
Woodlands,1.4382,103.7866,7.3,1193,OCR
Yishun,1.4304,103.8354,2.1,1312,OCR
Downtown Core,1.2789,103.8536,20.8,2907,CCR
Orchard,1.3048,103.8318,4.8,2799,CCR
River Valley,1.2966,103.8321,4.8,2799,CCR
Rochor,1.3042,103.8565,-8.0,2214,CCR
