town,flat_type,latest_psf,base_psf,median_price,avg_lease_years,psf_cagr_pct
ANG MO KIO,3 ROOM,561.0,492.0,425000.0,54.0,6.8
ANG MO KIO,4 ROOM,582.0,523.0,590000.0,55.0,5.5
ANG MO KIO,5 ROOM,657.0,587.0,900000.0,67.0,5.8
BEDOK,3 ROOM,567.0,492.0,415000.0,53.0,7.4
BEDOK,4 ROOM,576.0,490.0,570000.0,59.0,8.4
BEDOK,5 ROOM,582.0,511.0,770000.0,58.0,6.7
BISHAN,3 ROOM,755.0,633.0,531000.0,59.0,9.2
BISHAN,4 ROOM,726.0,630.0,773500.0,64.0,7.3
BISHAN,5 ROOM,746.0,660.0,980944.0,62.0,6.3
BUKIT BATOK,3 ROOM,555.0,495.0,410000.0,60.0,5.9
BUKIT BATOK,4 ROOM,606.0,540.0,610000.0,92.0,6.0
BUKIT BATOK,5 ROOM,643.0,610.0,790000.0,92.0,2.7
BUKIT MERAH,3 ROOM,595.0,556.0,430000.0,51.0,3.4
BUKIT MERAH,4 ROOM,914.0,799.0,915000.0,79.0,7.0
BUKIT MERAH,5 ROOM,805.0,693.0,1020000.0,74.0,7.8
BUKIT PANJANG,3 ROOM,573.0,494.0,441288.0,63.0,7.7
BUKIT PANJANG,4 ROOM,548.0,476.0,558000.0,73.0,7.3
BUKIT PANJANG,5 ROOM,551.0,481.0,688000.0,74.0,7.0
BUKIT TIMAH,3 ROOM,636.0,579.0,485000.0,49.0,4.8
BUKIT TIMAH,4 ROOM,749.0,660.0,860000.0,61.0,6.6
BUKIT TIMAH,5 ROOM,838.0,723.0,1100000.0,62.0,7.7
CENTRAL AREA,3 ROOM,746.0,644.0,511504.0,51.0,7.7
CENTRAL AREA,4 ROOM,1040.0,900.0,1010000.0,80.0,7.5
CENTRAL AREA,5 ROOM,1272.0,1052.0,1442500.0,84.0,9.9
CHOA CHU KANG,3 ROOM,607.0,540.0,440900.0,88.0,6.0
CHOA CHU KANG,4 ROOM,499.0,457.0,540000.0,72.0,4.5
CHOA CHU KANG,5 ROOM,496.0,446.0,644500.0,74.0,5.5
CLEMENTI,3 ROOM,561.0,520.0,415000.0,54.0,3.9
CLEMENTI,4 ROOM,712.0,619.0,762500.0,59.0,7.3
CLEMENTI,5 ROOM,752.0,627.0,960000.0,60.0,9.5
GEYLANG,3 ROOM,564.0,500.0,378000.0,51.0,6.2
GEYLANG,4 ROOM,708.0,566.0,779000.0,66.0,11.8
GEYLANG,5 ROOM,629.0,583.0,838900.0,59.0,3.9
HOUGANG,3 ROOM,594.0,520.0,440000.0,60.0,6.9
HOUGANG,4 ROOM,583.0,495.0,608888.0,71.0,8.5
HOUGANG,5 ROOM,582.0,497.0,755000.0,72.0,8.2
JURONG EAST,3 ROOM,533.0,483.0,400000.0,57.0,5.0
JURONG EAST,4 ROOM,514.0,460.0,530000.0,59.0,5.7
JURONG EAST,5 ROOM,519.0,474.0,682000.0,59.0,4.6
JURONG WEST,3 ROOM,515.0,463.0,385000.0,58.0,5.5
JURONG WEST,4 ROOM,504.0,467.0,525000.0,71.0,3.9
JURONG WEST,5 ROOM,493.0,456.0,620000.0,74.0,4.0
KALLANG/WHAMPOA,3 ROOM,611.0,538.0,435000.0,52.0,6.5
KALLANG/WHAMPOA,4 ROOM,888.0,781.0,880000.0,81.0,6.6
KALLANG/WHAMPOA,5 ROOM,718.0,653.0,930000.0,70.0,4.9
MARINE PARADE,3 ROOM,643.0,574.0,470000.0,49.0,5.8
MARINE PARADE,4 ROOM,684.0,599.0,628944.0,49.0,6.9
MARINE PARADE,5 ROOM,714.0,657.0,933000.0,49.0,4.2
PASIR RIS,3 ROOM,779.0,684.0,570000.0,88.0,6.7
PASIR RIS,4 ROOM,543.0,469.0,620000.0,68.0,7.6
PASIR RIS,5 ROOM,533.0,468.0,720000.0,68.0,6.7
PUNGGOL,3 ROOM,719.0,617.0,523500.0,90.0,7.9
PUNGGOL,4 ROOM,661.0,574.0,660000.0,89.0,7.3
PUNGGOL,5 ROOM,608.0,532.0,735000.0,88.0,6.9
QUEENSTOWN,3 ROOM,598.0,548.0,425000.0,49.0,4.4
QUEENSTOWN,4 ROOM,969.0,876.0,958000.0,86.0,5.2
QUEENSTOWN,5 ROOM,874.0,727.0,1142500.0,75.5,9.6
SEMBAWANG,3 ROOM,696.0,599.0,509444.0,93.0,7.8
SEMBAWANG,4 ROOM,594.0,528.0,598000.0,91.0,6.0
SEMBAWANG,5 ROOM,524.0,472.0,638000.0,76.0,5.3
SENGKANG,3 ROOM,716.0,601.0,522888.0,90.0,9.1
SENGKANG,4 ROOM,630.0,539.0,630000.0,86.0,8.1
SENGKANG,5 ROOM,565.0,490.0,685000.0,77.0,7.4
SERANGOON,3 ROOM,645.0,542.0,454000.0,59.0,9.1
SERANGOON,4 ROOM,640.0,555.0,640000.0,60.0,7.4
SERANGOON,5 ROOM,607.0,520.0,790000.0,64.0,8.0
TAMPINES,3 ROOM,615.0,527.0,480000.0,59.0,8.0
TAMPINES,4 ROOM,598.0,500.0,650000.0,68.5,9.3
TAMPINES,5 ROOM,582.0,490.0,779444.0,69.5,9.0
TOA PAYOH,3 ROOM,543.0,485.0,385000.0,46.0,5.8
TOA PAYOH,4 ROOM,947.0,712.0,928000.0,82.0,15.3
TOA PAYOH,5 ROOM,766.0,649.0,1019000.0,71.0,8.6
WOODLANDS,3 ROOM,560.0,489.0,428000.0,65.5,7.0
WOODLANDS,4 ROOM,520.0,459.0,548000.0,72.0,6.4
WOODLANDS,5 ROOM,504.0,444.0,650000.0,72.0,6.5
YISHUN,3 ROOM,582.0,505.0,430000.0,60.0,7.4
YISHUN,4 ROOM,547.0,472.0,550000.0,63.0,7.6
YISHUN,5 ROOM,541.0,498.0,695000.0,67.0,4.2
