project,street,district,lat,lng,median_psf,txn_count,property_type
# 1 LOFT,LORONG 24 GEYLANG,14,1.313573,103.875734,1312,21,Apartment
# 1 SUITES,LORONG 20 GEYLANG,14,1.3132,103.873719,1259,38,Apartment
1 CANBERRA,CANBERRA DRIVE,27,1.438321,103.822042,1267,196,Executive Condominium
1 KING ALBERT PARK,KING ALBERT PARK,21,1.337383,103.772513,1860,12,Condominium
1 MOULMEIN RISE,MOULMEIN RISE,11,1.319896,103.839269,2298,10,Apartment
10 EVELYN,EVELYN ROAD,11,1.316965,103.832749,2779,43,Apartment
10 SHELFORD,SHELFORD ROAD,11,1.326618,103.804732,1965,23,Apartment
11 AMBER ROAD,AMBER ROAD,15,1.299864,103.891632,1932,6,Apartment
111 EMERALD HILL,EMERALD HILL ROAD,9,1.305869,103.831451,2350,14,Apartment
120 GRANGE,GRANGE ROAD,10,1.300789,103.817738,2805,7,Apartment
15 HOLLAND HILL,HOLLAND HILL,10,1.310459,103.793086,3327,50,Apartment
16 @ AMBER,AMBER ROAD,15,1.300462,103.891045,2045,6,Apartment
18 SHELFORD,SHELFORD ROAD,11,1.328129,103.805047,2081,7,Apartment
18 WOODSVILLE,WOODSVILLE CLOSE,13,1.33039,103.860404,1786,18,Apartment
183 LONGHAUS,UPPER THOMSON ROAD,20,1.35177,103.827719,1836,12,Apartment
19 NASSIM,NASSIM HILL,10,1.307373,103.813544,3392,91,Apartment
1919,SOPHIA ROAD,9,1.303586,103.838786,2209,20,Apartment
1953,TESSENSOHN ROAD,8,1.317287,103.849966,1688,23,Apartment
2 RVG,RIVER VALLEY GROVE,9,1.297357,103.826528,2159,8,Apartment
21 ANDERSON,ANDERSON ROAD,10,1.313457,103.82032,2950,1,Condominium
21 RICHARDS,RICHARDS AVENUE,19,1.362691,103.873614,1499,8,Apartment
21 SHELFORD,SHELFORD ROAD,11,1.32821,103.804472,2085,2,Condominium
24 ONE RESIDENCES,PASIR PANJANG ROAD,5,1.280991,103.77704,2100,6,Apartment
26 NEWTON,NEWTON ROAD,11,1.316503,103.833831,2232,49,Apartment
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,1.31259,103.876821,1633,10,Apartment
28 RC SUITES,RACE COURSE LANE,8,1.310792,103.845167,1752,16,Apartment
28 SHELFORD,SHELFORD ROAD,11,1.329803,103.803984,2027,6,Apartment
283 STUDIO,RIVER VALLEY ROAD,9,1.296514,103.832027,1954,1,Apartment
3 CUSCADEN,CUSCADEN WALK,10,1.304743,103.821603,3285,6,Apartment
3 ORCHARD BY-THE-PARK,ORCHARD BOULEVARD,10,1.304143,103.816922,3479,13,Condominium
33 RESIDENCES,LORONG 30 GEYLANG,14,1.312791,103.878748,1587,5,Apartment
35 GILSTEAD,GILSTEAD ROAD,11,1.31792,103.830172,2628,46,Apartment
368 THOMSON,THOMSON ROAD,11,1.327901,103.834194,1845,35,Condominium
38 I SUITES,IPOH LANE,15,1.312503,103.888522,1778,41,Apartment
38 JERVOIS,JERVOIS ROAD,10,1.294904,103.814931,2169,3,Apartment
3@PHILLIPS,PHILLIPS AVENUE,19,1.364185,103.866746,1249,5,Apartment
3@SANDILANDS,SANDILANDS ROAD,19,1.362409,103.870183,1309,8,Apartment
448@EAST COAST,EAST COAST ROAD,15,1.309634,103.905665,1724,8,Apartment
57 @ KOVAN,KOVAN ROAD,19,1.358153,103.872734,1176,3,Apartment
6 DERBYSHIRE,DERBYSHIRE ROAD,11,1.316492,103.838096,2116,25,Condominium
76 SHENTON,SHENTON WAY,2,1.274286,103.837768,1929,54,Apartment
77 @ EAST COAST,UPPER EAST COAST ROAD,15,1.314173,103.91961,1967,26,Apartment
8 @ MOUNT SOPHIA,MOUNT SOPHIA,9,1.301775,103.838172,1678,66,Condominium
8 BASSEIN,BASSEIN ROAD,11,1.324347,103.840324,1821,16,Apartment
8 EDEN GROVE,EDEN GROVE,19,1.345583,103.864534,1394,5,Apartment
8 FARRER SUITES,SING JOO WALK,8,1.315799,103.846925,1778,10,Apartment
8 HULLET,HULLET ROAD,9,1.303821,103.830934,2886,9,Apartment
8 NAPIER,NAPIER ROAD,10,1.30772,103.812898,3365,7,Condominium
8 RAJA,JALAN RAJA UDANG,12,1.328051,103.834755,1597,3,Apartment
8 RODYK,RODYK STREET,9,1.29102,103.829777,2410,18,Apartment
8 SAINT THOMAS,ST. THOMAS WALK,9,1.296953,103.828508,2861,36,Condominium
833 M B RESIDENCES,MOUNTBATTEN ROAD,15,1.303443,103.890613,1669,3,Apartment
8@WOODLEIGH,WOODLEIGH CLOSE,13,1.337218,103.861966,1874,79,Condominium
