district,median_price,median_psf
1.0,2282500.0,2207.0
2.0,1804250.0,2301.5
3.0,1967850.0,2340.5
4.0,2101722.0,1786.5
5.0,1791250.0,1832.5
6.0,4719250.0,2888.5
7.0,1870000.0,2412.0
8.0,1590000.0,1834.0
9.0,2818975.0,2437.5
10.0,2731250.0,2303.5
11.0,2475000.0,2088.5
12.0,1594000.0,1750.0
13.0,1509722.0,1948.0
14.0,1430000.0,1685.0
15.0,2525000.0,2309.5
16.0,1734500.0,1720.5
17.0,1320944.0,1304.0
18.0,1590000.0,1752.0
19.0,1526500.0,1587.0
20.0,1915000.0,1842.0
21.0,1886100.0,2229.5
22.0,1524000.0,1562.0
23.0,1480000.0,1529.0
24.0,1645000.0,1744.0
25.0,1046500.0,1154.0
26.0,1974500.0,2223.0
27.0,1260000.0,1363.0
28.0,1277500.0,1462.0
