chunk_id,source,district,market_segment,property_type,year,n_transactions,median_psf,text
ura_d01_apartment_2021,ura_transaction,01,CCR,Apartment,2021,167,2225.0,"URA Private Residential — District 01 | Apartment | CCR | 2021
Transactions: 167
Median transacted price: SGD 1,700,000
Median price per sqft (PSF): SGD 2,225
Median area: 818 sqft
Resale share: 100%
"
ura_d01_apartment_2022,ura_transaction,01,CCR,Apartment,2022,142,2098.0,"URA Private Residential — District 01 | Apartment | CCR | 2022
Transactions: 142
Median transacted price: SGD 1,697,282
Median price per sqft (PSF): SGD 2,098
Median area: 883 sqft
Resale share: 100%
"
ura_d01_apartment_2023,ura_transaction,01,CCR,Apartment,2023,115,1976.0,"URA Private Residential — District 01 | Apartment | CCR | 2023
Transactions: 115
Median transacted price: SGD 1,620,000
Median price per sqft (PSF): SGD 1,976
Median area: 861 sqft
Resale share: 100%
"
ura_d01_apartment_2024,ura_transaction,01,CCR,Apartment,2024,130,1988.0,"URA Private Residential — District 01 | Apartment | CCR | 2024
Transactions: 130
Median transacted price: SGD 1,610,000
Median price per sqft (PSF): SGD 1,988
Median area: 861 sqft
Resale share: 100%
"
ura_d01_apartment_2025,ura_transaction,01,CCR,Apartment,2025,150,2017.5,"URA Private Residential — District 01 | Apartment | CCR | 2025
Transactions: 150
Median transacted price: SGD 1,695,000
Median price per sqft (PSF): SGD 2,018
Median area: 861 sqft
Resale share: 97%
"
ura_d01_apartment_2026,ura_transaction,01,CCR,Apartment,2026,33,2020.0,"URA Private Residential — District 01 | Apartment | CCR | 2026
Transactions: 33
Median transacted price: SGD 1,890,000
Median price per sqft (PSF): SGD 2,020
Median area: 797 sqft
Resale share: 70%
"
ura_d01_apartment_2021,ura_transaction,01,RCR,Apartment,2021,8,1404.0,"URA Private Residential — District 01 | Apartment | RCR | 2021
Transactions: 8
Median transacted price: SGD 1,255,000
Median price per sqft (PSF): SGD 1,404
Median area: 818 sqft
Resale share: 100%
"
ura_d01_apartment_2022,ura_transaction,01,RCR,Apartment,2022,11,1371.0,"URA Private Residential — District 01 | Apartment | RCR | 2022
Transactions: 11
Median transacted price: SGD 1,350,000
Median price per sqft (PSF): SGD 1,371
Median area: 1119 sqft
Resale share: 100%
"
ura_d01_apartment_2023,ura_transaction,01,RCR,Apartment,2023,7,1548.0,"URA Private Residential — District 01 | Apartment | RCR | 2023
Transactions: 7
Median transacted price: SGD 1,950,000
Median price per sqft (PSF): SGD 1,548
Median area: 1259 sqft
Resale share: 100%
"
ura_d01_apartment_2024,ura_transaction,01,RCR,Apartment,2024,113,3126.0,"URA Private Residential — District 01 | Apartment | RCR | 2024
Transactions: 113
Median transacted price: SGD 2,237,000
Median price per sqft (PSF): SGD 3,126
Median area: 732 sqft
Resale share: 12%
"
ura_d01_apartment_2025,ura_transaction,01,RCR,Apartment,2025,616,2952.0,"URA Private Residential — District 01 | Apartment | RCR | 2025
Transactions: 616
Median transacted price: SGD 1,946,493
Median price per sqft (PSF): SGD 2,952
Median area: 657 sqft
Resale share: 4%
"
ura_d01_apartment_2026,ura_transaction,01,RCR,Apartment,2026,54,2975.0,"URA Private Residential — District 01 | Apartment | RCR | 2026
Transactions: 54
Median transacted price: SGD 2,180,900
Median price per sqft (PSF): SGD 2,975
Median area: 732 sqft
Resale share: 4%
"
ura_d01_condominium_2021,ura_transaction,01,CCR,Condominium,2021,18,2118.5,"URA Private Residential — District 01 | Condominium | CCR | 2021
Transactions: 18
Median transacted price: SGD 2,984,000
Median price per sqft (PSF): SGD 2,118
Median area: 1609 sqft
Resale share: 100%
"
