chunk_id,source,district,ref_period,year,quarter,n_projects,median_psf_rent,text
ura_rent_d1_2023q2,ura_rental,1,2023Q2,2023,2,10,7.155,"URA Rental Median — District 1 | 2023Q2
Properties tracked: 10
Median rental PSF/month: SGD 7.16
25th percentile rental PSF: SGD 6.53
75th percentile rental PSF: SGD 7.86
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2023q3,ura_rental,1,2023Q3,2023,3,11,6.93,"URA Rental Median — District 1 | 2023Q3
Properties tracked: 11
Median rental PSF/month: SGD 6.93
25th percentile rental PSF: SGD 6.33
75th percentile rental PSF: SGD 7.61
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2023q4,ura_rental,1,2023Q4,2023,4,11,6.9,"URA Rental Median — District 1 | 2023Q4
Properties tracked: 11
Median rental PSF/month: SGD 6.90
25th percentile rental PSF: SGD 6.18
75th percentile rental PSF: SGD 7.43
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2024q1,ura_rental,1,2024Q1,2024,1,10,6.675000000000001,"URA Rental Median — District 1 | 2024Q1
Properties tracked: 10
Median rental PSF/month: SGD 6.68
25th percentile rental PSF: SGD 6.17
75th percentile rental PSF: SGD 7.37
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2024q2,ura_rental,1,2024Q2,2024,2,10,6.5,"URA Rental Median — District 1 | 2024Q2
Properties tracked: 10
Median rental PSF/month: SGD 6.50
25th percentile rental PSF: SGD 5.95
75th percentile rental PSF: SGD 7.28
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2024q3,ura_rental,1,2024Q3,2024,3,11,6.01,"URA Rental Median — District 1 | 2024Q3
Properties tracked: 11
Median rental PSF/month: SGD 6.01
25th percentile rental PSF: SGD 5.65
75th percentile rental PSF: SGD 7.03
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2024q4,ura_rental,1,2024Q4,2024,4,11,6.41,"URA Rental Median — District 1 | 2024Q4
Properties tracked: 11
Median rental PSF/month: SGD 6.41
25th percentile rental PSF: SGD 5.72
75th percentile rental PSF: SGD 7.20
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2025q1,ura_rental,1,2025Q1,2025,1,10,6.654999999999999,"URA Rental Median — District 1 | 2025Q1
Properties tracked: 10
Median rental PSF/month: SGD 6.65
25th percentile rental PSF: SGD 6.15
75th percentile rental PSF: SGD 7.31
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2025q2,ura_rental,1,2025Q2,2025,2,11,6.61,"URA Rental Median — District 1 | 2025Q2
Properties tracked: 11
Median rental PSF/month: SGD 6.61
25th percentile rental PSF: SGD 6.02
75th percentile rental PSF: SGD 7.40
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2025q3,ura_rental,1,2025Q3,2025,3,11,6.43,"URA Rental Median — District 1 | 2025Q3
Properties tracked: 11
Median rental PSF/month: SGD 6.43
25th percentile rental PSF: SGD 5.79
75th percentile rental PSF: SGD 7.08
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2025q4,ura_rental,1,2025Q4,2025,4,11,6.43,"URA Rental Median — District 1 | 2025Q4
Properties tracked: 11
Median rental PSF/month: SGD 6.43
25th percentile rental PSF: SGD 5.85
75th percentile rental PSF: SGD 7.32
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d1_2026q1,ura_rental,1,2026Q1,2026,1,10,6.425000000000001,"URA Rental Median — District 1 | 2026Q1
Properties tracked: 10
Median rental PSF/month: SGD 6.43
25th percentile rental PSF: SGD 6.02
75th percentile rental PSF: SGD 7.16
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2023q2,ura_rental,2,2023Q2,2023,2,11,7.14,"URA Rental Median — District 2 | 2023Q2
Properties tracked: 11
Median rental PSF/month: SGD 7.14
25th percentile rental PSF: SGD 6.48
75th percentile rental PSF: SGD 7.71
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2023q3,ura_rental,2,2023Q3,2023,3,13,6.83,"URA Rental Median — District 2 | 2023Q3
Properties tracked: 13
Median rental PSF/month: SGD 6.83
25th percentile rental PSF: SGD 6.34
75th percentile rental PSF: SGD 7.37
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2023q4,ura_rental,2,2023Q4,2023,4,12,7.42,"URA Rental Median — District 2 | 2023Q4
Properties tracked: 12
Median rental PSF/month: SGD 7.42
25th percentile rental PSF: SGD 6.86
75th percentile rental PSF: SGD 7.97
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2024q1,ura_rental,2,2024Q1,2024,1,12,7.05,"URA Rental Median — District 2 | 2024Q1
Properties tracked: 12
Median rental PSF/month: SGD 7.05
25th percentile rental PSF: SGD 5.97
75th percentile rental PSF: SGD 7.50
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2024q2,ura_rental,2,2024Q2,2024,2,12,6.915,"URA Rental Median — District 2 | 2024Q2
Properties tracked: 12
Median rental PSF/month: SGD 6.92
25th percentile rental PSF: SGD 5.96
75th percentile rental PSF: SGD 7.29
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2024q3,ura_rental,2,2024Q3,2024,3,13,7.25,"URA Rental Median — District 2 | 2024Q3
Properties tracked: 13
Median rental PSF/month: SGD 7.25
25th percentile rental PSF: SGD 6.42
75th percentile rental PSF: SGD 7.48
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2024q4,ura_rental,2,2024Q4,2024,4,12,7.11,"URA Rental Median — District 2 | 2024Q4
Properties tracked: 12
Median rental PSF/month: SGD 7.11
25th percentile rental PSF: SGD 6.41
75th percentile rental PSF: SGD 7.51
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2025q1,ura_rental,2,2025Q1,2025,1,14,7.025,"URA Rental Median — District 2 | 2025Q1
Properties tracked: 14
Median rental PSF/month: SGD 7.03
25th percentile rental PSF: SGD 6.37
75th percentile rental PSF: SGD 7.47
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2025q2,ura_rental,2,2025Q2,2025,2,13,6.88,"URA Rental Median — District 2 | 2025Q2
Properties tracked: 13
Median rental PSF/month: SGD 6.88
25th percentile rental PSF: SGD 6.05
75th percentile rental PSF: SGD 7.28
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2025q3,ura_rental,2,2025Q3,2025,3,14,6.84,"URA Rental Median — District 2 | 2025Q3
Properties tracked: 14
Median rental PSF/month: SGD 6.84
25th percentile rental PSF: SGD 6.33
75th percentile rental PSF: SGD 7.27
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2025q4,ura_rental,2,2025Q4,2025,4,13,7.08,"URA Rental Median — District 2 | 2025Q4
Properties tracked: 13
Median rental PSF/month: SGD 7.08
25th percentile rental PSF: SGD 6.44
75th percentile rental PSF: SGD 7.70
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d2_2026q1,ura_rental,2,2026Q1,2026,1,14,6.87,"URA Rental Median — District 2 | 2026Q1
Properties tracked: 14
Median rental PSF/month: SGD 6.87
25th percentile rental PSF: SGD 6.33
75th percentile rental PSF: SGD 7.47
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2023q2,ura_rental,3,2023Q2,2023,2,25,6.31,"URA Rental Median — District 3 | 2023Q2
Properties tracked: 25
Median rental PSF/month: SGD 6.31
25th percentile rental PSF: SGD 5.85
75th percentile rental PSF: SGD 6.80
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2023q3,ura_rental,3,2023Q3,2023,3,26,6.165,"URA Rental Median — District 3 | 2023Q3
Properties tracked: 26
Median rental PSF/month: SGD 6.17
25th percentile rental PSF: SGD 5.53
75th percentile rental PSF: SGD 6.40
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2023q4,ura_rental,3,2023Q4,2023,4,24,6.255000000000001,"URA Rental Median — District 3 | 2023Q4
Properties tracked: 24
Median rental PSF/month: SGD 6.26
25th percentile rental PSF: SGD 5.68
75th percentile rental PSF: SGD 6.62
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2024q1,ura_rental,3,2024Q1,2024,1,24,5.8,"URA Rental Median — District 3 | 2024Q1
Properties tracked: 24
Median rental PSF/month: SGD 5.80
25th percentile rental PSF: SGD 5.55
75th percentile rental PSF: SGD 6.08
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2024q2,ura_rental,3,2024Q2,2024,2,24,6.12,"URA Rental Median — District 3 | 2024Q2
Properties tracked: 24
Median rental PSF/month: SGD 6.12
25th percentile rental PSF: SGD 5.63
75th percentile rental PSF: SGD 6.44
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2024q3,ura_rental,3,2024Q3,2024,3,27,5.67,"URA Rental Median — District 3 | 2024Q3
Properties tracked: 27
Median rental PSF/month: SGD 5.67
25th percentile rental PSF: SGD 5.40
75th percentile rental PSF: SGD 6.22
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2024q4,ura_rental,3,2024Q4,2024,4,24,5.975,"URA Rental Median — District 3 | 2024Q4
Properties tracked: 24
Median rental PSF/month: SGD 5.97
25th percentile rental PSF: SGD 5.52
75th percentile rental PSF: SGD 6.54
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2025q1,ura_rental,3,2025Q1,2025,1,24,6.135,"URA Rental Median — District 3 | 2025Q1
Properties tracked: 24
Median rental PSF/month: SGD 6.13
25th percentile rental PSF: SGD 5.48
75th percentile rental PSF: SGD 6.42
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2025q2,ura_rental,3,2025Q2,2025,2,26,6.255000000000001,"URA Rental Median — District 3 | 2025Q2
Properties tracked: 26
Median rental PSF/month: SGD 6.26
25th percentile rental PSF: SGD 5.67
75th percentile rental PSF: SGD 6.65
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2025q3,ura_rental,3,2025Q3,2025,3,27,5.96,"URA Rental Median — District 3 | 2025Q3
Properties tracked: 27
Median rental PSF/month: SGD 5.96
25th percentile rental PSF: SGD 5.62
75th percentile rental PSF: SGD 6.17
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2025q4,ura_rental,3,2025Q4,2025,4,25,6.35,"URA Rental Median — District 3 | 2025Q4
Properties tracked: 25
Median rental PSF/month: SGD 6.35
25th percentile rental PSF: SGD 5.71
75th percentile rental PSF: SGD 6.69
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d3_2026q1,ura_rental,3,2026Q1,2026,1,25,6.4,"URA Rental Median — District 3 | 2026Q1
Properties tracked: 25
Median rental PSF/month: SGD 6.40
25th percentile rental PSF: SGD 5.93
75th percentile rental PSF: SGD 6.73
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d4_2023q2,ura_rental,4,2023Q2,2023,2,18,5.905,"URA Rental Median — District 4 | 2023Q2
Properties tracked: 18
Median rental PSF/month: SGD 5.91
25th percentile rental PSF: SGD 5.35
75th percentile rental PSF: SGD 6.21
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d4_2023q3,ura_rental,4,2023Q3,2023,3,17,5.57,"URA Rental Median — District 4 | 2023Q3
Properties tracked: 17
Median rental PSF/month: SGD 5.57
25th percentile rental PSF: SGD 5.11
75th percentile rental PSF: SGD 5.99
Note: Based on properties with >= 10 rental contracts for this period.
"
ura_rent_d4_2023q4,ura_rental,4,2023Q4,2023,4,13,5.55,"URA Rental Median — District 4 | 2023Q4
Properties tracked: 13
Median rental PSF/month: SGD 5.55
25th percentile rental PSF: SGD 5.10
75th percentile rental PSF: SGD 5.91
Note: Based on properties with >= 10 rental contracts for this period.
"
